,Fighter,Opponent,Result,Fighters_Win,Opponents_Win
0,Brian Johnston,Dan Bobish,loss,0,1
1,Brian Johnston,Ken Shamrock,loss,0,1
2,Brian Johnston,Mark Coleman,loss,0,1
3,Brian Johnston,Reza Nasri,win,1,0
4,Brian Johnston,Don Frye,loss,0,1
5,Brian Johnston,Scott Fiedler,win,1,0
6,Shamil Gamzatov,Klidson Abreu,win,1,0
7,Mario Bautista,Trevin Jones,loss,0,1
8,Mario Bautista,Miles Johns,win,1,0
9,Mario Bautista,Jin Soo Son,win,1,0
10,Mario Bautista,Cory Sandhagen,loss,0,1
11,Ludovit Klein,Shane Young,win,1,0
12,Pat Benson,Dave Cochran,win,1,0
13,Max Holloway,Calvin Kattar,win,1,0
14,Max Holloway,Alexander Volkanovski,loss,0,1
15,Max Holloway,Alexander Volkanovski,loss,0,1
16,Max Holloway,Frankie Edgar,win,1,0
17,Max Holloway,Dustin Poirier,loss,0,1
18,Max Holloway,Brian Ortega,win,1,0
19,Max Holloway,Jose Aldo,win,1,0
20,Max Holloway,Jose Aldo,win,1,0
21,Max Holloway,Anthony Pettis,win,1,0
22,Max Holloway,Ricardo Lamas,win,1,0
23,Max Holloway,Jeremy Stephens,win,1,0
24,Max Holloway,Charles Oliveira,win,1,0
25,Max Holloway,Cub Swanson,win,1,0
26,Max Holloway,Cole Miller,win,1,0
27,Max Holloway,Akira Corassani,win,1,0
28,Max Holloway,Clay Collard,win,1,0
29,Max Holloway,Andre Fili,win,1,0
30,Max Holloway,Will Chope,win,1,0
31,Max Holloway,Conor McGregor,loss,0,1
32,Max Holloway,Dennis Bermudez,loss,0,1
33,Max Holloway,Leonard Garcia,win,1,0
34,Max Holloway,Justin Lawrence,win,1,0
35,Max Holloway,Pat Schilling,win,1,0
36,Max Holloway,Dustin Poirier,loss,0,1
37,Casey O'Neill,Shana Dobson,win,1,0
38,Charles Oliveira,Tony Ferguson,win,1,0
39,Charles Oliveira,Kevin Lee,win,1,0
40,Charles Oliveira,Jared Gordon,win,1,0
41,Charles Oliveira,Nik Lentz,win,1,0
42,Charles Oliveira,David Teymur,win,1,0
43,Charles Oliveira,Jim Miller,win,1,0
44,Charles Oliveira,Christos Giagos,win,1,0
45,Charles Oliveira,Clay Guida,win,1,0
46,Charles Oliveira,Paul Felder,loss,0,1
47,Charles Oliveira,Will Brooks,win,1,0
48,Charles Oliveira,Ricardo Lamas,loss,0,1
49,Charles Oliveira,Anthony Pettis,loss,0,1
50,Charles Oliveira,Myles Jury,win,1,0
51,Charles Oliveira,Max Holloway,loss,0,1
52,Charles Oliveira,Nik Lentz,win,1,0
53,Charles Oliveira,Jeremy Stephens,win,1,0
54,Charles Oliveira,Hatsu Hioki,win,1,0
55,Charles Oliveira,Andy Ogle,win,1,0
56,Charles Oliveira,Frankie Edgar,loss,0,1
57,Charles Oliveira,Cub Swanson,loss,0,1
58,Charles Oliveira,Jonathan Brookins,win,1,0
59,Charles Oliveira,Eric Wisely,win,1,0
60,Charles Oliveira,Donald Cerrone,loss,0,1
61,Charles Oliveira,Nik Lentz,nc,-1,-1
62,Charles Oliveira,Jim Miller,loss,0,1
63,Charles Oliveira,Efrain Escudero,win,1,0
64,Charles Oliveira,Darren Elkins,win,1,0
65,Hidehiko Hasegawa,Hayato Sakurai,loss,0,1
66,Mairbek Taisumov,Diego Ferreira,loss,0,1
67,Mairbek Taisumov,Desmond Green,win,1,0
68,Mairbek Taisumov,Felipe Silva,win,1,0
69,Mairbek Taisumov,Damir Hadzovic,win,1,0
70,Mairbek Taisumov,Alan Patrick,win,1,0
71,Mairbek Taisumov,Anthony Christodoulou,win,1,0
72,Mairbek Taisumov,Marcin Bandel,win,1,0
73,Mairbek Taisumov,Michel Prazeres,loss,0,1
74,Mairbek Taisumov,Tae Hyun Bang,win,1,0
75,Fabricio Werdum,Alexander Gustafsson,win,1,0
76,Fabricio Werdum,Aleksei Oleinik,loss,0,1
77,Fabricio Werdum,Alexander Volkov,loss,0,1
78,Fabricio Werdum,Marcin Tybura,win,1,0
79,Fabricio Werdum,Walt Harris,win,1,0
80,Fabricio Werdum,Alistair Overeem,loss,0,1
81,Fabricio Werdum,Travis Browne,win,1,0
82,Fabricio Werdum,Stipe Miocic,loss,0,1
83,Fabricio Werdum,Cain Velasquez,win,1,0
84,Fabricio Werdum,Mark Hunt,win,1,0
85,Fabricio Werdum,Travis Browne,win,1,0
86,Fabricio Werdum,Antonio Rodrigo Nogueira,win,1,0
87,Fabricio Werdum,Mike Russow,win,1,0
88,Fabricio Werdum,Roy Nelson,win,1,0
89,Fabricio Werdum,Alistair Overeem,loss,0,1
90,Fabricio Werdum,Fedor Emelianenko,win,1,0
91,Fabricio Werdum,Antonio Silva,win,1,0
92,Fabricio Werdum,Mike Kyle,win,1,0
93,Fabricio Werdum,Junior Dos Santos,loss,0,1
94,Fabricio Werdum,Brandon Vera,win,1,0
95,Fabricio Werdum,Gabriel Gonzaga,win,1,0
96,Fabricio Werdum,Andrei Arlovski,loss,0,1
97,Fabricio Werdum,Aleksander Emelianenko,win,1,0
98,Fabricio Werdum,Antonio Rodrigo Nogueira,loss,0,1
99,Fabricio Werdum,Alistair Overeem,win,1,0
100,Fabricio Werdum,Jon Olav Einemo,win,1,0
101,Fabricio Werdum,Sergei Kharitonov,loss,0,1
102,Fabricio Werdum,Roman Zentsov,win,1,0
103,Fabricio Werdum,Tom Erikson,win,1,0
104,Fabricio Werdum,Ebenezer Fontes Braga,win,1,0
105,Fabricio Werdum,Gabriel Gonzaga,win,1,0
106,Fabricio Werdum,Kristof Midoux,win,1,0
107,Sean Woodson,Julian Erosa,loss,0,1
108,Sean Woodson,Kyle Bochniak,win,1,0
109,Sean Woodson,Terrance McKinney,win,1,0
110,Scott Adams,Ian Freeman,win,1,0
111,Nick Roehrick,Jared Cannonier,loss,0,1
112,Antonio Duarte,Albert Rios,loss,0,1
113,Artur Oumakhanov,Katsuhiko Nagata,loss,0,1
114,Reza Nasri,Brian Johnston,loss,0,1
115,Keith Rockel,Chris Liguori,win,1,0
116,Keith Rockel,Eugene Jackson,loss,0,1
117,Jimmy Flick,Cody Durden,win,1,0
118,Jimmy Flick,Nate Smith,win,1,0
119,Francisco Trinaldo,Jai Herbert,win,1,0
120,Francisco Trinaldo,John Makdessi,win,1,0
121,Francisco Trinaldo,Bobby Green,win,1,0
122,Francisco Trinaldo,Alexander Hernandez,loss,0,1
123,Francisco Trinaldo,Evan Dunham,win,1,0
124,Francisco Trinaldo,James Vick,loss,0,1
125,Francisco Trinaldo,Jim Miller,win,1,0
126,Francisco Trinaldo,Kevin Lee,loss,0,1
127,Francisco Trinaldo,Paul Felder,win,1,0
128,Francisco Trinaldo,Yancy Medeiros,win,1,0
129,Francisco Trinaldo,Ross Pearson,win,1,0
130,Francisco Trinaldo,Chad Laprise,win,1,0
131,Francisco Trinaldo,Norman Parke,win,1,0
132,Francisco Trinaldo,Akbarh Arreola,win,1,0
133,Francisco Trinaldo,Leandro Silva,win,1,0
134,Francisco Trinaldo,Michael Chiesa,loss,0,1
135,Francisco Trinaldo,Jesse Ronson,win,1,0
136,Francisco Trinaldo,Piotr Hallmann,loss,0,1
137,Francisco Trinaldo,Mike Rio,win,1,0
138,Francisco Trinaldo,CJ Keith,win,1,0
139,Francisco Trinaldo,Gleison Tibau,loss,0,1
140,Francisco Trinaldo,Delson Heleno,win,1,0
141,Kevin Natividad,Miles Johns,loss,0,1
142,Rulon Gardner,Hidehiko Yoshida,win,1,0
143,Tim Kennedy,Kelvin Gastelum,loss,0,1
144,Tim Kennedy,Yoel Romero,loss,0,1
145,Tim Kennedy,Michael Bisping,win,1,0
146,Tim Kennedy,Rafael Natal,win,1,0
147,Tim Kennedy,Roger Gracie,win,1,0
148,Tim Kennedy,Trevor Smith,win,1,0
149,Tim Kennedy,Luke Rockhold,loss,0,1
150,Tim Kennedy,Robbie Lawler,win,1,0
151,Tim Kennedy,Melvin Manhoef,win,1,0
152,Tim Kennedy,Jacare Souza,loss,0,1
153,Tim Kennedy,Trevor Prangley,win,1,0
154,Tim Kennedy,Zak Cummings,win,1,0
155,Tim Kennedy,Nick Thompson,win,1,0
156,Tim Kennedy,Mack Brewer,win,1,0
157,Joanne Calderwood,Jessica Eye,win,1,0
158,Joanne Calderwood,Jennifer Maia,loss,0,1
159,Joanne Calderwood,Andrea Lee,win,1,0
160,Joanne Calderwood,Katlyn Chookagian,loss,0,1
161,Joanne Calderwood,Ariane Lipski,win,1,0
162,Joanne Calderwood,Kalindra Faria,win,1,0
163,Joanne Calderwood,Cynthia Calvillo,loss,0,1
164,Joanne Calderwood,Jessica Andrade,loss,0,1
165,Joanne Calderwood,Valerie Letourneau,win,1,0
166,Joanne Calderwood,Cortney Casey,win,1,0
167,Joanne Calderwood,Maryna Moroz,loss,0,1
168,Joanne Calderwood,Seo Hee Ham,win,1,0
169,Anthony Perosh,Gian Villante,loss,0,1
170,Anthony Perosh,Sean O'Connell,loss,0,1
171,Anthony Perosh,Guto Inocente,win,1,0
172,Anthony Perosh,Ryan Bader,loss,0,1
173,Anthony Perosh,Vinny Magalhaes,win,1,0
174,Anthony Perosh,Ryan Jimmo,loss,0,1
175,Anthony Perosh,Nick Penner,win,1,0
176,Anthony Perosh,Cyrille Diabate,win,1,0
177,Anthony Perosh,Tom Blackledge,win,1,0
178,Anthony Perosh,Mirko Filipovic,loss,0,1
179,Anthony Perosh,Christian Wellisch,loss,0,1
180,Anthony Perosh,Jeff Monson,loss,0,1
181,Alex Serdyukov,Johny Hendricks,loss,0,1
182,Alex Serdyukov,Luis Santos,win,1,0
183,Alex Serdyukov,Ryan Stonitsch,win,1,0
184,Alex Serdyukov,John Alessio,loss,0,1
185,Alex Serdyukov,Scott Norton,win,1,0
186,Alex Serdyukov,John Alessio,loss,0,1
187,Jordan Wright,Joaquin Buckley,loss,0,1
188,Jordan Wright,Ike Villanueva,win,1,0
189,Jordan Wright,Anthony Hernandez,nc,-1,-1
190,Gilbert Aldana,Cheick Kongo,loss,0,1
191,Gilbert Aldana,Paul Buentello,loss,0,1
192,Chris Clements,Nordine Taleb,loss,0,1
193,Chris Clements,Vik Grujic,win,1,0
194,Chris Clements,Stephen Thompson,loss,0,1
195,Chris Clements,Matthew Riddle,nc,-1,-1
196,Chris Clements,Keith Wisniewski,win,1,0
197,Jason Lambert,Jason MacDonald,loss,0,1
198,Jason Lambert,Luiz Cane,loss,0,1
199,Jason Lambert,Wilson Gouveia,loss,0,1
200,Jason Lambert,Renato Sobral,win,1,0
201,Jason Lambert,Rashad Evans,loss,0,1
202,Jason Lambert,Branden Lee Hinkle,win,1,0
203,Jason Lambert,Terry Martin,win,1,0
204,Jason Lambert,Rob MacDonald,win,1,0
205,Aleksandar Rakic,Thiago Santos,win,1,0
