,Name,Record,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_inch,Stance,Debut,SLpM,StrAcc,SApM,StrDef,TD_Avg,TD_Acc,TD_Def,Sub_Avg
0,Maki Pitolo,Record: 13-8-0,13.0,8.0,0.0,177.80216207429083,185.0,75.0,Orthodox,1990.0,4.2,0.44,3.71,0.56,2.42,0.52,0.55,0.5
1,Marc-Andre Barriault,Record: 12-4-0 (1 NC),12.0,4.0,0.0,185.42225473461758,185.0,74.0,Orthodox,1990.0,5.36,0.48,4.79,0.55,0.43,0.25,0.72,0.0
2,Dan Lauzon,Record: 17-6-0,17.0,6.0,0.0,177.80216207429083,155.0,,Orthodox,1988.0,1.34,0.25,4.09,0.61,1.63,0.33,0.8,2.7
3,Junior Dos Santos,Record: 21-9-0,21.0,9.0,0.0,193.04234739494433,238.0,77.0,Orthodox,1984.0,4.49,0.47,3.33,0.56,0.3,0.5,0.81,0.1
4,Sanghoon Yoo,Record: 5-1-0,5.0,1.0,0.0,182.882223847842,155.0,74.0,Orthodox,1990.0,5.0,0.66,7.27,0.27,1.0,1.0,0.75,1.0
5,Nazareno Malegarie,Record: 28-4-0,28.0,4.0,0.0,172.72210030073967,155.0,,,1986.0,3.87,0.34,3.27,0.69,1.0,0.33,0.0,0.0
6,Takeshi Yamazaki,Record: 15-12-3,15.0,12.0,3.0,172.72210030073967,139.0,,Southpaw,,0.57,0.25,1.57,0.47,4.5,0.5,1.0,1.0
7,Liz Carmouche,Record: 13-7-0,13.0,7.0,0.0,167.6420385271885,125.0,66.0,Orthodox,1984.0,2.78,0.54,2.51,0.61,2.57,0.51,0.65,0.3
8,Luis Henrique,Record: 10-5-0 (1 NC),10.0,5.0,0.0,187.96228562139316,243.0,74.0,Orthodox,1993.0,1.81,0.43,2.22,0.47,3.09,0.36,0.5,1.0
9,Joey Gambino,Record: 9-2-0,9.0,2.0,0.0,170.1820694139641,145.0,,Orthodox,1988.0,2.47,0.35,2.53,0.51,0.0,0.0,0.42,0.8
10,Tiago dos Santos e Silva,Record: 20-7-2 (1 NC),20.0,7.0,2.0,175.26213118751525,145.0,70.0,Orthodox,1987.0,3.69,0.35,4.23,0.59,0.63,0.11,0.33,0.3
11,Reynaldo Trujillo,Record: 21-19-0,21.0,19.0,0.0,175.26213118751525,155.0,,,1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
